회계연도,지역,정책사업(항목구분),금액(원)
2026,서울,세출예산액,10942206674000
2026,서울,유아및초중등교육,4548982423000
2026,서울,인적자원운용,69540352000
2026,서울,교수학습활동지원,418400647000
2026,서울,교육복지,941604447000
2026,서울,보건급식,518176038000
2026,서울,학교재정지원관리,2366503287000
2026,서울,학교시설여건개선,234757652000
2026,서울,평생교육,30402207000
2026,서울,교육일반,301065006000
2026,서울,교육행정일반,240977767000
2026,서울,기관운영,52878590000
2026,서울,재무활동,7208649000
2026,서울,예비비,20454908000
2026,서울,인건비,6041302130000
2026,부산,세출예산액,5531657836000
2026,부산,유아및초중등교육,2610329308000
2026,부산,인적자원운용,34989606000
2026,부산,교수학습활동지원,338981788000
2026,부산,교육복지,409258351000
2026,부산,보건급식,378857573000
2026,부산,학교재정지원관리,876997691000
2026,부산,학교시설여건개선,571244299000
2026,부산,평생교육,24831907000
2026,부산,교육일반,158019819000
2026,부산,인건비,2718360954000
2026,대구,세출예산액,4257622692000
2026,대구,유아및초중등교육,1865039855000
2026,대구,인적자원운용,26232317000
2026,대구,교수학습활동지원,308948937000
2026,대구,교육복지,321905597000
2026,대구,보건급식,273893277000
2026,대구,학교재정지원관리,645801081000
2026,대구,학교시설여건개선,288258646000
2026,대구,평생교육,8226511000
2026,대구,교육일반,157204023000
